id,real age,predicted age,|error|
2652385,30,48,18
2652384,57,54,3
2652383,24,44,20
2652382,62,56,6
2652381,24,48,24
2652380,72,55,17
2652379,37,54,17
2652378,46,37,9
2652377,48,43,5
2652376,62,48,14
2652374,22,50,28
2652372,29,45,16
2652370,45,60,15
2652369,62,56,6
2652368,56,49,7
2652367,78,62,16
2652366,50,50,0
2652365,50,48,2
2652363,50,49,1
2652362,29,52,23
2652361,62,48,14
2652360,54,54,0
2652359,78,61,17
2652358,65,51,14
2652357,61,48,13
2652356,38,53,15
2652355,41,44,3
2652354,41,55,14
2652353,41,52,11
2652352,41,46,5
2652351,41,42,1
2652350,41,53,12
2652349,41,55,14
2652348,41,56,15
2652346,41,66,25
2652345,36,46,10
2652343,36,50,14
2652342,36,52,16
2652341,36,45,9
2652339,56,48,8
2652336,48,54,6
2652333,48,56,8
2652332,37,57,20
2652329,50,43,7
2652327,48,60,12
2652326,48,62,14
2652325,48,59,11
2652324,48,61,13
2652323,48,61,13
2652322,48,62,14
2652321,48,62,14
2652320,48,62,14
2652319,48,62,14
2652318,48,59,11
2652317,48,61,13
2652316,43,63,20
2652315,48,52,4
2652314,48,61,13
2652313,48,63,15
2652312,50,50,0
2652311,48,63,15
2652310,48,63,15
2652309,48,55,7
2652306,41,62,21
2652305,50,50,0
2652304,41,48,7
2652303,40,49,9
2652302,59,45,14
2652301,41,53,12
2652299,41,57,16
2652298,41,61,20
2652296,50,54,4
2652295,41,55,14
2652294,41,55,14
2652293,59,52,7
2652292,30,51,21
2652291,55,50,5
2652290,59,49,10
2652288,55,59,4
2652287,30,59,29
2652286,59,63,4
2652283,17,53,36
2652284,56,58,2
2652282,50,49,1
2652278,35,51,16
2652277,16,55,39
2652276,35,52,17
2652275,50,63,13
2652274,35,51,16
2652273,35,52,17
2652272,48,62,14
2652271,30,47,17
2652270,30,58,28
2652269,48,61,13
2652268,75,62,13
2652267,53,52,1
2652266,58,53,5
2652264,53,49,4
2652263,37,53,16
2652262,21,46,25
2652258,50,53,3
2652255,48,50,2
2652253,75,52,23
2652249,50,62,12
2652247,56,56,0
2652242,54,47,7
2652241,54,53,1
2652238,54,46,8
2652237,48,62,14
2652236,54,47,7
2652235,50,48,2
2652234,72,49,23
2652233,48,57,9
2652232,47,52,5
2652231,47,47,0
2652230,28,60,32
2652229,56,52,4
2652227,30,48,18
2652225,62,49,13
2652224,48,55,7
2652223,30,46,16
2652222,48,62,14
2652221,48,53,5
2652220,30,53,23
2652219,72,50,22
2652218,72,47,25
2652217,72,53,19
2652215,30,58,28
2652214,38,49,11
2652213,47,52,5
2652212,30,47,17
2652211,75,47,28
2652210,30,54,24
2652208,48,46,2
2652206,62,54,8
2652205,47,52,5
2652205,47,52,5
2652202,30,53,23
2652201,62,53,9
2652200,51,48,3
2652198,67,43,24
2652197,62,64,2
2652196,53,49,4
2652194,53,47,6
2652193,51,64,13
2652190,67,47,20
2652189,53,49,4
2652187,53,46,7
2652186,53,49,4
2652185,37,54,17
2652183,37,64,27
2652182,37,53,16
2652181,37,48,11
2652180,37,43,6
2652179,37,50,13
2652179,37,50,13
2652178,14,25,11
2652177,37,43,6
2652174,51,58,7
2652173,53,49,4
2652172,39,50,11
2652171,53,35,18
2652170,53,44,9
2652169,46,46,0
2652168,53,58,5
2652167,67,53,14
2652165,53,50,3
2652164,51,51,0
2652163,40,52,12
2652162,67,46,21
2652160,78,54,24
2652159,51,51,0
2652158,51,48,3
2652156,61,47,14
2652154,58,52,6
2652152,52,63,11
2652151,46,53,7
2652147,42,49,7
2652146,30,48,18
2652145,63,54,9
2652144,59,70,11
2652143,51,55,4
2652142,32,52,20
2652141,45,53,8
2652140,40,55,15
2652138,80,48,32
2652137,56,60,4
2652136,63,56,7
2652134,53,48,5
2652133,30,47,17
2652132,30,50,20
2652131,59,64,5
2652130,53,46,7
2652130,53,46,7
2652129,30,50,20
2652128,47,47,0
2652127,59,46,13
2652126,47,46,1
2652125,51,48,3
2652123,60,36,24
2652122,62,50,12
2652121,59,49,10
2652120,48,62,14
2652119,56,61,5
2652118,78,63,15
2652117,50,48,2
2652116,64,62,2
2652115,58,56,2
2652114,56,61,5
2652113,78,61,17
2652112,30,53,23
2652111,30,47,17
2652109,53,47,6
2652107,47,46,1
2652106,53,47,6
2652105,37,52,15
2652104,37,47,10
2652103,53,52,1
2652102,68,48,20
2652101,42,42,0
2652099,40,39,1
2652098,30,38,8
2652097,42,42,0
2652096,30,37,7
2652095,62,53,9
2652094,63,52,11
2652092,56,51,5
2652089,37,39,2
2652088,58,54,4
2652087,37,53,16
2652085,37,54,17
2652084,37,50,13
2652083,37,48,11
2652082,37,45,8
2652081,49,61,12
2652078,45,54,9
2652076,45,48,3
2652075,30,49,19
2652074,53,63,10
2652073,37,45,8
2652071,50,46,4
2652070,49,48,1
2652068,30,50,20
2652067,46,44,2
2652066,30,53,23
2652064,49,47,2
2652063,50,55,5
2652062,53,45,8
2652061,49,50,1
2652060,56,49,7
