id,real age,predicted age,|error|
2652362,29,64,35
2652361,62,59,3
2652360,54,62,8
2652359,78,62,16
2652358,65,64,1
2652357,61,64,3
2652356,38,62,24
2652355,41,61,20
2652354,41,58,17
2652353,41,63,22
2652352,41,57,16
2652351,41,65,24
2652350,41,62,21
2652349,41,62,21
2652348,41,62,21
2652346,41,65,24
2652345,36,59,23
2652343,36,63,27
2652342,36,61,25
2652341,36,61,25
2652339,56,61,5
2652336,48,61,13
2652333,48,61,13
2652332,37,60,23
2652329,50,62,12
2652327,48,63,15
2652326,48,60,12
2652325,48,61,13
2652324,48,61,13
2652323,48,61,13
2652322,48,61,13
2652321,48,62,14
2652320,48,63,15
2652319,48,61,13
2652318,48,63,15
2652317,48,61,13
2652316,43,64,21
2652315,48,62,14
2652314,48,63,15
2652313,48,62,14
2652312,50,61,11
2652311,48,61,13
2652310,48,64,16
2652309,48,62,14
2652306,41,62,21
2652305,50,62,12
2652304,41,62,21
2652303,40,56,16
2652302,59,59,0
2652301,41,62,21
2652299,41,62,21
2652298,41,60,19
2652296,50,63,13
2652295,41,62,21
2652294,41,63,22
2652293,59,60,1
2652292,30,60,30
2652291,55,59,4
2652290,59,61,2
2652288,55,63,8
2652287,30,63,33
2652286,59,61,2
2652283,17,62,45
2652284,56,64,8
2652282,50,63,13
2652278,35,45,10
2652277,16,61,45
2652276,35,44,9
2652275,50,64,14
2652274,35,45,10
2652273,35,44,9
2652272,48,60,12
2652271,30,62,32
2652270,30,63,33
2652269,48,62,14
2652268,75,64,11
2652267,53,64,11
2652266,58,59,1
2652264,53,55,2
2652263,37,62,25
2652262,21,64,43
2652258,50,62,12
2652255,48,60,12
2652253,75,62,13
2652249,50,56,6
2652247,56,64,8
2652242,54,63,9
2652241,54,65,11
2652238,54,63,9
2652237,48,60,12
2652236,54,52,2
2652235,50,60,10
2652234,72,63,9
2652233,48,63,15
2652232,47,50,3
2652231,47,66,19
2652230,28,61,33
2652229,56,64,8
2652227,30,63,33
2652225,62,59,3
2652224,48,61,13
2652223,30,55,25
2652222,48,61,13
2652221,48,51,3
2652220,30,55,25
2652219,72,55,17
2652218,72,53,19
2652217,72,57,15
2652215,30,58,28
2652214,38,52,14
2652213,47,62,15
2652212,30,63,33
2652211,75,52,23
2652210,30,61,31
2652208,48,62,14
2652206,62,57,5
2652205,47,54,7
2652205,47,54,7
2652202,30,61,31
2652201,62,62,0
2652200,51,50,1
2652198,67,61,6
2652197,62,57,5
2652196,53,55,2
2652194,53,58,5
2652193,51,62,11
2652190,67,55,12
2652189,53,55,2
2652187,53,56,3
2652186,53,55,2
2652185,37,63,26
2652183,37,64,27
2652182,37,63,26
2652181,37,25,12
2652180,37,63,26
2652179,37,64,27
2652179,37,64,27
2652178,14,44,30
2652177,37,50,13
2652174,51,60,9
2652173,53,58,5
2652172,39,42,3
2652171,53,45,8
2652170,53,55,2
2652169,46,60,14
2652168,53,64,11
2652167,67,64,3
2652165,53,62,9
2652164,51,48,3
2652163,40,62,22
2652162,67,56,11
2652160,78,61,17
2652159,51,51,0
2652158,51,58,7
2652156,61,55,6
2652154,58,52,6
2652152,52,67,15
2652151,46,62,16
2652147,42,45,3
2652146,30,63,33
2652145,63,66,3
2652144,59,61,2
2652143,51,64,13
2652142,32,63,31
2652141,45,63,18
2652140,40,65,25
2652138,80,59,21
2652137,56,59,3
2652136,63,57,6
2652134,53,63,10
2652133,30,44,14
2652132,30,43,13
2652131,59,61,2
2652130,53,56,3
2652130,53,56,3
2652129,30,61,31
2652128,47,63,16
2652127,59,58,1
2652126,47,50,3
2652125,51,50,1
2652123,60,65,5
2652122,62,58,4
2652121,59,56,3
2652120,48,60,12
2652119,56,52,4
2652118,78,62,16
2652117,50,63,13
2652116,64,62,2
2652115,58,53,5
2652114,56,64,8
2652113,78,64,14
2652112,30,62,32
2652111,30,59,29
2652109,53,56,3
2652107,47,63,16
2652106,53,59,6
2652105,37,59,22
2652104,37,58,21
2652103,53,59,6
2652102,68,55,13
2652101,42,44,2
2652099,40,61,21
2652098,30,56,26
2652097,42,44,2
2652096,30,57,27
2652095,62,63,1
2652094,63,51,12
2652092,56,63,7
2652089,37,55,18
2652088,58,61,3
2652087,37,55,18
2652085,37,57,20
2652084,37,58,21
2652083,37,58,21
2652082,37,59,22
2652081,49,62,13
2652078,45,63,18
2652076,45,53,8
2652075,30,56,26
2652074,53,62,9
2652073,37,58,21
2652071,50,61,11
2652070,49,61,12
2652068,30,58,28
2652067,46,59,13
2652066,30,60,30
2652064,49,62,13
2652063,50,63,13
2652062,53,66,13
2652061,49,62,13
2652060,56,54,2
2652059,49,59,10
2652058,62,62,0
2652057,76,57,19
2652056,49,63,14
2652055,45,59,14
2652054,49,62,13
2652053,66,58,8
2652052,67,37,30
2652050,66,56,10
2652048,67,59,8
2652047,44,63,19
2652046,59,63,4
2652045,64,60,4
2652044,59,62,3
2652041,30,65,35
2652040,56,64,8
2652039,73,60,13
2652038,70,64,6
2652036,70,66,4
2652035,50,64,14
2652032,50,64,14
2652028,30,50,20
2652027,66,40,26
2652026,62,54,8
2652025,50,61,11
2652024,30,62,32
2652023,30,44,14
2652022,30,52,22
2652019,62,64,2
2652018,68,63,5
2652017,41,63,22
2652016,48,62,14
2652013,30,53,23
2652010,30,58,28
2652007,48,64,16
2652004,30,60,30
2652003,37,56,19
2652000,47,60,13
2651995,75,65,10
2651992,30,55,25
2651990,67,54,13
2651989,30,38,8
2651988,30,58,28
2651985,65,55,10
2651984,62,61,1
2651983,67,63,4
2651982,28,55,27
2651981,16,60,44
2651979,53,60,7
2651976,51,56,5
2651975,53,64,11
2651974,40,62,22
2651973,47,59,12
2651972,35,63,28
2651971,37,63,26
2651970,67,57,10
2651969,47,57,10
2651967,53,64,11
2651966,43,55,12
2651965,53,66,13
2651964,30,62,32
