id,real age,predicted age,|error|
2652041,30,85,55
2652040,56,87,31
2652039,73,88,15
2652038,70,80,10
2652036,70,78,8
2652035,50,85,35
2652032,50,85,35
2652028,30,59,29
2652027,66,62,4
2652026,62,83,21
2652025,50,84,34
2652024,30,82,52
2652023,30,68,38
2652022,30,81,51
2652019,62,86,24
2652018,68,88,20
2652017,41,86,45
2652016,48,91,43
2652013,30,72,42
2652010,30,84,54
2652007,48,89,41
2652004,30,84,54
2652003,37,76,39
2652000,47,82,35
2651995,75,84,9
2651992,30,76,46
2651990,67,60,7
2651989,30,49,19
2651988,30,81,51
2651985,65,72,7
2651984,62,82,20
2651983,67,90,23
2651982,28,69,41
2651981,16,90,74
2651979,53,79,26
2651976,51,75,24
2651975,53,79,26
2651974,40,89,49
2651973,47,92,45
2651972,35,88,53
2651971,37,82,45
2651970,67,80,13
2651969,47,97,50
2651967,53,76,23
2651966,43,55,12
2651965,53,84,31
2651964,30,92,62
2651962,30,91,61
2651961,48,89,41
2651960,72,67,5
2651960,72,67,5
2651959,54,66,12
2651954,50,77,27
2651953,50,41,9
2651952,54,87,33
2651951,54,75,21
2651950,54,92,38
2651948,56,90,34
2651947,54,90,36
2651946,54,86,32
2651945,62,79,17
2651944,30,65,35
2651937,72,90,18
2651936,30,69,39
2651935,68,68,0
2651934,30,91,61
2651933,58,80,22
2651930,56,96,40
2651929,70,79,9
2651926,30,77,47
2651925,32,75,43
2651924,30,66,36
2651923,45,75,30
2651922,30,71,41
2651921,56,78,22
2651920,37,85,48
2651919,56,90,34
2651918,37,76,39
2651917,30,52,22
2651916,48,88,40
2651915,37,68,31
2651914,56,89,33
2651913,37,69,32
2651912,37,75,38
2651911,30,85,55
2651910,37,71,34
2651909,44,73,29
2651906,37,72,35
2651905,37,75,38
2651903,37,77,40
2651902,63,80,17
2651901,37,78,41
2651900,35,68,33
2651899,37,82,45
2651897,30,80,50
2651896,30,72,42
2651895,30,75,45
2651894,69,91,22
2651892,30,35,5
2651889,53,63,10
2651888,30,75,45
2651887,58,74,16
2651886,30,53,23
2651885,66,88,22
2651884,30,91,61
2651882,58,87,29
2651881,48,91,43
2651880,66,82,16
2651879,48,92,44
2651878,48,87,39
2651875,45,76,31
2651873,19,59,40
2651871,53,69,16
2651870,54,82,28
2651869,54,80,26
2651867,70,81,11
2651865,68,79,11
2651863,47,81,34
2651862,53,76,23
2651860,75,94,19
2651859,54,83,29
2651858,53,77,24
2651857,53,74,21
2651856,51,75,24
2651855,36,81,45
2651854,60,87,27
2651853,53,82,29
2651851,51,72,21
2651850,48,92,44
2651849,53,81,28
2651848,48,91,43
2651846,40,82,42
2651845,48,94,46
2651844,48,89,41
2651843,59,88,29
2651842,48,90,42
2651841,62,78,16
2651839,40,85,45
2651837,30,40,10
2651831,45,69,24
2651830,50,65,15
2651829,68,71,3
2651828,62,91,29
2651826,68,84,16
2651825,57,88,31
2651821,68,75,7
2651820,48,90,42
2651819,48,90,42
2651818,36,75,39
2651817,38,67,29
2651816,36,88,52
2651815,40,88,48
2651814,36,68,32
2651813,47,75,28
2651812,36,65,29
2651811,40,94,54
2651809,40,87,47
2651808,16,86,70
2651807,62,89,27
2651806,38,65,27
2651804,66,83,17
2651803,30,78,48
2651802,54,86,32
2651801,54,86,32
2651800,38,62,24
2651799,47,82,35
2651798,54,88,34
2651794,40,82,42
2651791,40,77,37
2651790,66,81,15
2651788,66,91,25
2651787,51,82,31
2651786,48,92,44
2651785,30,79,49
2651784,30,76,46
2651782,73,86,13
2651781,73,89,16
2651780,49,80,31
2651776,30,57,27
2651775,30,84,54
2651773,54,83,29
2651772,30,90,60
2651771,54,77,23
2651770,41,76,35
2651769,54,83,29
2651767,51,69,18
2651766,30,69,39
2651764,41,76,35
2651763,30,63,33
2651762,47,90,43
2651761,30,71,41
2651760,62,83,21
2651759,30,69,39
2651757,62,94,32
2651756,45,73,28
2651755,45,79,34
2651754,45,76,31
2651753,30,93,63
2651749,40,81,41
2651748,36,80,44
2651746,43,87,44
2651745,37,75,38
2651744,36,65,29
2651743,67,80,13
2651742,36,68,32
2651741,67,61,6
2651740,47,65,18
2651736,30,61,31
2651735,70,42,28
2651732,44,89,45
2651731,68,88,20
2651729,43,61,18
2651727,62,92,30
2651725,57,87,30
2651724,56,76,20
2651718,35,84,49

mae:32
mse:12
